,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
0,001,25,18,6,14,29,39,22
1,002,13,4,10,6,5,28,37
2,003,28,1,16,47,18,42,33
3,004,45,16,17,7,37,28,33
4,005,35,21,10,3,32,40,8
5,006,3,13,12,28,1,18,4
6,007,32,12,48,45,39,7,15
7,008,13,24,48,23,32,20,46
8,009,23,17,43,1,10,13,30
9,010,37,18,17,47,21,23,25
10,011,7,45,3,30,1,10,6
11,012,24,32,10,15,37,4,39
12,013,42,43,36,11,25,47,7
13,014,48,20,30,39,41,6,27
14,015,13,37,2,3,43,12,36
15,016,40,22,27,42,43,39,21
16,017,42,29,20,49,22,6,38
17,018,12,1,24,33,21,44,10
18,019,3,23,49,13,39,26,6
19,020,44,4,47,1,49,14,34
20,021,39,19,24,31,32,30,14
21,022,27,23,26,14,16,18,4
22,023,15,43,6,30,16,9,45
23,024,3,45,18,40,28,2,41
24,025,17,42,28,44,5,20,30
25,026,36,25,7,2,34,9,37
26,027,2,6,28,32,45,16,25
27,028,34,14,29,33,5,28,40
28,029,14,46,3,35,43,10,13
29,030,27,39,23,45,44,46,25
30,031,30,23,8,24,33,25,22
31,032,22,15,13,2,17,33,39
32,033,41,22,19,40,46,39,48
33,034,1,4,21,40,16,49,23
34,035,27,35,32,37,6,18,21
35,036,38,7,19,47,10,40,29
36,037,35,32,46,8,37,16,25
37,038,11,1,47,39,12,3,20
38,039,41,48,10,17,34,43,40
39,040,1,32,35,30,8,16,20
40,041,48,35,22,30,26,4,28
41,042,44,13,39,22,46,47,42
42,043,4,27,38,40,19,35,37
43,044,24,28,46,34,14,43,7
44,045,40,28,3,48,31,8,30
45,046,41,1,24,34,33,30,12
46,047,14,22,13,31,20,16,12
47,048,7,35,23,33,46,27,18
48,049,49,5,1,17,31,6,43
49,050,29,21,46,48,15,45,5
50,051,27,22,31,7,13,18,49
51,052,7,6,17,13,34,31,10
52,053,33,48,5,19,13,17,11
53,054,23,28,30,35,19,27,25
54,055,47,36,40,43,11,37,44
55,056,41,8,33,30,43,7,42
56,057,10,11,13,1,40,22,20
57,058,22,23,33,34,49,19,31
58,059,40,16,17,26,36,4,24
59,060,10,8,17,13,47,44,11
60,061,42,28,39,6,23,35,10
61,062,27,37,10,26,2,48,35
62,063,42,5,38,3,49,21,23
63,064,48,40,3,33,47,4,31
64,065,30,41,38,25,35,16,48
65,066,49,45,27,22,13,26,12
66,067,15,35,39,48,45,11,44
67,068,42,33,47,40,30,2,44
68,069,44,30,5,40,6,15,29
69,070,16,35,46,25,19,18,43
70,071,32,9,44,36,23,40,49
71,072,35,37,48,33,14,22,40
72,073,43,22,48,23,33,10,3
73,074,22,21,1,47,29,11,35
74,075,30,5,10,37,32,7,9
75,076,28,2,14,10,16,23,39
76,077,5,23,27,17,11,39,22
77,078,15,38,18,3,8,11,28
78,079,4,20,9,32,29,44,10
79,080,27,38,29,2,44,31,24
80,081,48,8,40,9,18,27,38
81,082,10,35,4,45,24,9,34
82,083,45,4,6,47,46,11,28
83,084,17,45,24,23,38,40,20
84,085,32,31,18,14,8,19,35
85,086,19,29,31,2,42,26,30
86,087,30,16,14,28,29,3,15
87,088,14,11,39,10,45,33,15
88,089,45,19,13,25,15,27,14
89,090,17,7,23,38,12,18,35
90,091,35,23,32,31,8,24,40
91,092,23,24,36,3,4,32,39
92,093,16,23,28,21,27,46,10
93,094,35,43,31,37,15,39,33
94,095,4,43,37,40,24,16,20
95,096,42,46,25,5,40,22,34
96,097,1,32,24,23,4,2,31
97,098,30,39,31,8,21,20,3
98,099,1,34,43,38,6,22,20
99,100,25,3,34,8,31,41,42
100,101,20,49,36,37,42,30,1
