period,date,n1,n2,n3,n4,n5,n6,special
1,2025-01-01,25,18,6,14,29,39,22
2,2025-01-02,13,4,10,6,5,28,37
3,2025-01-03,28,1,16,47,18,42,33
4,2025-01-04,45,16,17,7,37,28,33
5,2025-01-05,35,21,10,3,32,40,8
6,2025-01-06,3,13,12,28,1,18,4
7,2025-01-07,32,12,48,45,39,7,15
8,2025-01-08,13,24,48,23,32,20,46
9,2025-01-09,23,17,43,1,10,13,30
10,2025-01-10,37,18,17,47,21,23,25
11,2025-01-11,7,45,3,30,1,10,6
12,2025-01-12,24,32,10,15,37,4,39
13,2025-01-13,42,43,36,11,25,47,7
14,2025-01-14,48,20,30,39,41,6,27
15,2025-01-15,13,37,2,3,43,12,36
16,2025-01-16,40,22,27,42,43,39,21
17,2025-01-17,42,29,20,49,22,6,38
18,2025-01-18,12,1,24,33,21,44,10
19,2025-01-19,3,23,49,13,39,26,6
20,2025-01-20,44,4,47,1,49,14,34
21,2025-01-21,39,19,24,31,32,30,14
22,2025-01-22,27,23,26,14,16,18,4
23,2025-01-23,15,43,6,30,16,9,45
24,2025-01-24,3,45,18,40,28,2,41
25,2025-01-25,17,42,28,44,5,20,30
26,2025-01-26,36,25,7,2,34,9,37
27,2025-01-27,2,6,28,32,45,16,25
28,2025-01-27,34,14,29,33,5,28,40
29,2025-01-29,14,46,3,35,43,10,13
30,2025-01-30,27,39,23,45,44,46,25
31,2025-01-31,30,23,8,24,33,25,22
32,2025-02-01,22,15,13,2,17,33,39
33,2025-02-02,41,22,19,40,46,39,48
34,2025-02-03,1,4,21,40,16,49,23
35,2025-02-04,27,35,32,37,6,18,21
36,2025-02-05,38,7,19,47,10,40,29
37,2025-02-06,35,32,46,8,37,16,25
38,2025-02-07,11,1,47,39,12,3,20
39,2025-02-08,41,48,10,17,34,43,40
40,2025-02-09,1,32,35,30,8,16,20
41,2025-02-10,48,35,22,30,26,4,28
42,2025-02-11,44,13,39,22,46,47,42
